iter	RMSE
0	0.9792949223
1	0.955854972
2	0.932706891
3	0.9125857496
4	0.8915189377
5	0.8734721951
6	0.8559868325
7	0.8407710119
8	0.8257712061
9	0.8120410637
10	0.7973212899
11	0.78376093
12	0.7713039645
13	0.7601503993
14	0.747521023
15	0.7367504216
16	0.7256024187
17	0.7167606421
18	0.7070833982
19	0.699590962
20	0.6912410327
21	0.6833922959
22	0.6762250197
23	0.6686856604
24	0.6616798334
25	0.6551174712
26	0.647409369
27	0.6410549732
28	0.635555116
29	0.6296128005
30	0.6238163678
31	0.6193112091
32	0.6141104378
33	0.6095147592
34	0.6042162979
35	0.600543416
36	0.5948709675
37	0.5905334368
38	0.5867252373
39	0.5823511214
40	0.5781347115
41	0.5750881068
42	0.5719263737
43	0.5686716066
44	0.5652867356
45	0.5618302146
46	0.5585517226
47	0.5554131393
48	0.552009794
49	0.5490881811
50	0.5464135062
51	0.5439856073
52	0.5410174152
53	0.5378195443
54	0.5351250401
55	0.5333142513
56	0.5310164602
57	0.5279720172
58	0.5249422287
59	0.5230975801
60	0.5214740023
61	0.5187973308
62	0.5164123962
63	0.5139802099
64	0.5115833062
65	0.5087488902
66	0.5067439816
67	0.5043663561
68	0.5025584503
69	0.5005610194
70	0.4980182842
71	0.4956758603
72	0.4933851013
73	0.4916587885
74	0.4896502097
75	0.486994422
76	0.4856474323
77	0.4833397335
78	0.4814524483
79	0.4798888718
80	0.4779248178
81	0.4765481368
82	0.474252161
83	0.4728896623
84	0.4718707133
85	0.4700753938
86	0.4686171007
87	0.4673214386
88	0.465568913
89	0.4642652361
90	0.4628107363
91	0.4615915968
92	0.4604076523
93	0.4591357044
94	0.4583405283
95	0.4564634306
96	0.4548349643
97	0.4532706641
98	0.4518122878
99	0.45080259
100	0.4497237939
101	0.4480864684
102	0.4469503885
103	0.4456749059
104	0.4443198215
105	0.4424307633
106	0.4411834809
107	0.4396108323
108	0.438710786
109	0.4376448828
110	0.4368454598
111	0.4359290579
112	0.4347396839
113	0.4328411631
114	0.4320531324
115	0.4313323112
116	0.4296480298
117	0.4286603681
118	0.4271802343
119	0.4261368455
