iter	Passed	Remaining
0	3	3569
1	6	3234
2	9	3190
3	12	3192
4	18	3676
5	25	4213
6	28	4008
7	31	3904
8	34	3794
9	37	3689
10	40	3615
11	43	3553
12	46	3494
13	49	3455
14	51	3406
15	54	3363
16	57	3324
17	60	3290
18	63	3265
19	66	3238
20	68	3213
21	71	3196
22	74	3179
23	77	3160
24	80	3141
25	84	3149
26	87	3135
27	89	3118
28	92	3104
29	95	3098
30	98	3088
31	101	3079
32	104	3067
33	107	3057
34	110	3047
35	113	3038
36	116	3029
37	120	3040
38	122	3028
39	125	3018
40	128	3008
41	131	2999
42	134	2993
43	137	2984
44	140	2977
45	143	2970
46	146	2961
47	148	2954
48	151	2949
49	154	2942
50	157	2933
51	160	2925
52	163	2919
53	166	2912
54	169	2906
55	172	2900
56	175	2895
57	177	2889
58	180	2883
59	183	2878
60	186	2871
61	189	2865
62	192	2859
63	195	2853
64	197	2847
65	200	2842
66	203	2836
67	206	2831
68	209	2829
69	212	2823
70	215	2818
71	218	2812
72	221	2807
73	223	2801
74	226	2795
75	230	2800
76	234	2811
77	238	2813
78	240	2808
79	243	2801
80	246	2797
81	249	2791
82	252	2787
83	255	2782
84	258	2777
85	260	2773
86	263	2769
87	266	2764
88	269	2759
89	272	2754
90	275	2749
91	278	2746
92	281	2741
93	283	2736
94	286	2731
95	289	2726
96	292	2722
97	295	2718
98	298	2714
99	301	2709
100	303	2704
101	306	2699
102	309	2695
103	312	2691
104	315	2686
105	318	2682
106	321	2679
107	324	2676
108	326	2672
109	329	2667
110	332	2662
111	335	2658
112	338	2654
113	340	2649
114	343	2646
115	346	2642
116	349	2638
117	352	2634
118	356	2637
119	362	2659
120	367	2671
121	373	2689
122	376	2684
123	379	2679
124	382	2675
125	385	2671
126	387	2666
127	390	2661
128	393	2657
129	396	2656
130	400	2654
131	402	2649
132	405	2645
133	408	2641
134	411	2636
135	414	2634
136	417	2630
137	420	2625
138	423	2621
139	427	2626
140	430	2622
141	433	2618
142	436	2614
143	439	2610
144	442	2606
145	444	2602
146	447	2598
147	450	2594
148	453	2590
149	456	2586
150	459	2582
151	462	2578
152	465	2574
153	467	2570
154	470	2566
155	473	2562
156	476	2558
157	479	2555
158	482	2551
159	485	2548
160	488	2544
161	491	2540
162	493	2536
163	496	2532
164	499	2528
165	502	2524
166	505	2520
167	508	2518
168	511	2515
169	514	2511
170	517	2507
171	520	2505
